date,review_text,rating,source
2025-11-20,The Margherita Pizza was absolutely delicious! The crust was crispy and the sauce perfect.,5,Google Reviews
2025-11-20,Caesar Salad was fresh and tasty. Great portion size.,4,Yelp
2025-11-19,Pad Thai was excellent - authentic flavors and perfect spice level.,5,TripAdvisor
2025-11-19,Pasta Alfredo tasted great but the portion could be larger.,3,Google Reviews
2025-11-18,Veg Biryani was absolutely outstanding! Will definitely order again.,5,Yelp
2025-11-18,Chicken Wings were crispy and flavorful. Highly recommend!,4,TripAdvisor
2025-11-17,The burger was mediocre - patty was dry and cold.,2,Google Reviews
2025-11-17,Sushi Rolls were fresh and beautifully presented. Loved it!,5,Yelp
2025-11-16,Fries were tasty but a bit too salty for my liking.,3,TripAdvisor
2025-11-16,Margherita Pizza again - consistent quality every time!,5,Google Reviews
2025-11-15,Caesar Salad was okay but could use more dressing.,3,Yelp
2025-11-15,Pad Thai was good but the noodles were slightly overcooked.,3,TripAdvisor
2025-11-14,Pasta Alfredo - creamy and delicious. My favorite!,5,Google Reviews
2025-11-14,Veg Biryani disappointed me this time. Not as good as before.,2,Yelp
2025-11-13,Chicken Wings - best wings in town! Always crispy and hot.,5,TripAdvisor
2025-11-13,The burger had great flavor this time. Much better!,4,Google Reviews
2025-11-12,Sushi Rolls ordered again - never disappoints.,5,Yelp
2025-11-12,Fries were perfectly cooked and seasoned just right.,4,TripAdvisor
2025-11-11,Margherita Pizza is my go-to order every time.,5,Google Reviews
2025-11-11,Caesar Salad - quick service and fresh ingredients.,4,Yelp
2025-11-10,Pad Thai was incredible! Will order again soon.,5,TripAdvisor
2025-11-10,Pasta Alfredo was underwhelming this time.,2,Google Reviews
2025-11-09,Veg Biryani is always a solid choice. Tasty and filling.,4,Yelp
2025-11-09,Chicken Wings were soggy. Not up to standard.,2,TripAdvisor
2025-11-08,Sushi Rolls - fresh elegant and delicious.,5,Google Reviews
2025-11-08,The burger was really good. Great value for money.,4,Yelp
2025-11-07,Fries could use less salt but taste was good.,3,TripAdvisor
2025-11-07,Margherita Pizza never disappoints. Perfect every time.,5,Google Reviews
2025-11-06,Caesar Salad is my staple. Always fresh!,4,Yelp
2025-11-05,Spicy but enjoyable meal overall.,2,Google Reviews
2025-11-04,Average food nothing special but decent.,2,Yelp
2025-11-03,Portion size was small for the price.,3,TripAdvisor
2025-11-02,Amazing taste would definitely order again!,4,Google Reviews
2025-11-01,Highly recommend this dish!,5,Yelp
2025-10-31,Not worth the price in my opinion.,2,TripAdvisor
2025-10-30,Perfectly cooked and very flavorful meal.,5,Google Reviews
2025-10-29,Very fresh and delicious experience.,4,Yelp
2025-10-28,Too salty for my taste preference.,2,TripAdvisor
2025-10-27,Exceeded all my expectations tonight!,5,Google Reviews
2025-10-26,Portion size was adequate and filling.,4,Yelp
2025-10-25,Average quality nothing stands out.,2,TripAdvisor
2025-10-24,Fresh ingredients really made the difference.,4,Google Reviews
2025-10-23,Not impressed with this visit overall.,2,Yelp
2025-10-22,Best meal I have had in months!,5,TripAdvisor
2025-10-21,Good quality consistent with past visits.,4,Google Reviews
2025-10-20,Could improve portion sizes here.,3,Yelp
2025-10-19,Fantastic experience from start to finish.,5,TripAdvisor
2025-10-18,Too spicy for mild taste preferences.,2,Google Reviews
2025-10-17,Perfect balance of flavors and texture.,5,Yelp
2025-10-16,Decent food but pricey for portions.,3,TripAdvisor
2025-10-15,Absolutely delicious and highly recommend.,5,Google Reviews
2025-10-14,Good service paired with tasty food.,4,Yelp
